L/2ro,2ro/S,aA
10,0,0
10,0.016494845,0.054842405
10,0.032302405,0.086043676
10,0.049484536,0.12008277
10,0.065292096,0.148416657
10,0.088659794,0.186623804
10,0.096907216,0.203650741
10,0.105498282,0.212068137
10,0.118900344,0.231851606
10,0.13814433,0.260111591
10,0.152920962,0.276998116
10,0.174914089,0.303765288
10,0.187628866,0.319262462
10,0.198969072,0.333355504
10,0.212371134,0.35170528
10,0.227835052,0.368577024
10,0.240893471,0.389801574
10,0.249828179,0.405380039
10,0.262886598,0.428038281
10,0.275601375,0.45643868
10,0.285910653,0.480589735
10,0.296219931,0.507608174
10,0.305498282,0.536082474
10,0.313745704,0.563145254
10,0.32233677,0.600236485
10,0.331271478,0.633019251
10,0.337113402,0.660133762
10,0.343986254,0.691527177
10,0.351202749,0.724346894
10,0.355670103,0.74718989
10,0.360824742,0.768584414
10,0.367697595,0.807146288
10,0.371821306,0.831430366
10,0.377319588,0.86141965
10,0.381786942,0.888563722
10,0.386941581,0.919994088
10,0.391752577,0.951431844
10,0.4,1
,,
25,0,0
25,0.010309278,0.063577578
25,0.018213058,0.096382515
25,0.025773196,0.126327458
25,0.033333333,0.151971326
25,0.040549828,0.173321509
25,0.049140893,0.20181059
25,0.058762887,0.228843809
25,0.076632302,0.270036581
25,0.086941581,0.289886561
25,0.095532646,0.3083398
25,0.10652921,0.325307616
25,0.119587629,0.347965857
25,0.131271478,0.363485201
25,0.142268041,0.377585634
25,0.153608247,0.3873776
25,0.167010309,0.404293685
25,0.182817869,0.425459114
25,0.199312715,0.443742379
25,0.214089347,0.463496286
25,0.228865979,0.481816502
25,0.239862543,0.50021801
25,0.25257732,0.518582567
25,0.26185567,0.534153642
25,0.272508591,0.558297306
25,0.279037801,0.569626427
25,0.286941581,0.586660755
25,0.294845361,0.605128774
25,0.305498282,0.635007205
25,0.311340206,0.652085874
25,0.317869416,0.670583453
25,0.325085911,0.691933636
25,0.333676976,0.716121642
25,0.339862543,0.737493995
25,0.347766323,0.767431549
25,0.357731959,0.803059528
25,0.367010309,0.840135979
25,0.375257732,0.875800909
25,0.385910653,0.925751025
25,0.4,1
,,
100,0,0
100,0.003092784,0.059431696
100,0.006185567,0.092340095
100,0.009278351,0.128115878
100,0.01443299,0.171015778
100,0.016494845,0.195344197
100,0.018556701,0.211070465
100,0.027491409,0.262491224
100,0.036769759,0.311037209
100,0.042611684,0.332416953
100,0.050171821,0.360928205
100,0.058419244,0.383689909
100,0.066666667,0.405017921
100,0.073195876,0.424949193
100,0.082817869,0.441946569
100,0.090378007,0.456120903
100,0.095876289,0.461737427
100,0.110652921,0.484358719
100,0.125773196,0.502671544
100,0.140893471,0.523851753
100,0.158762887,0.540671766
100,0.175945017,0.557506559
100,0.187285223,0.568732217
100,0.199656357,0.577068322
100,0.210996564,0.591161364
100,0.224742268,0.606636367
100,0.234020619,0.619340058
100,0.243642612,0.624867901
100,0.257731959,0.648937664
100,0.270790378,0.665861139
100,0.279725086,0.677138529
100,0.29209622,0.698377859
100,0.302405498,0.716794147
100,0.315120275,0.736592396
100,0.318213058,0.745128035
100,0.328178694,0.766419096
100,0.334364261,0.784924066
100,0.342955326,0.803377305
100,0.351202749,0.827572701
100,0.361512027,0.856024831
100,0.370103093,0.885947604
100,0.380412371,0.920134501
100,0.4,1
